move_count,click_count,left_click_count,right_click_count,scroll_count,event_rate,path_length,displacement,straightness,speed_mean,speed_std,speed_max,acceleration_mean,acceleration_std,acceleration_max,direction_change_mean,direction_change_std,click_interval_mean,click_interval_std,click_hold_mean,click_hold_std,double_click_count,scroll_abs_total,scroll_abs_mean,scroll_interval_mean,scroll_interval_std
222,1,1,0,3,35.25000376710585,1084.869047169289,71.7007670809734,0.0660916331496964,603.8853151176738,789.195027170595,4170.6413323531815,14893.687755510187,15862.142539740897,111588.5750080392,15.518445677994904,24.288356018743325,0.0,0.0,0.0555019378662109,0.0,0.0,3.0,1.0,0.0443462133407592,0.0129376649856567
223,1,1,0,3,34.798305361606225,1085.869047169289,72.47068372797375,0.0667398006388476,601.2052124975539,788.4229117539774,4170.6413323531815,14826.654123593162,15857.415990484727,111588.5750080392,15.518445677994904,24.288356018743325,0.0,0.0,0.0555019378662109,0.0,0.0,3.0,1.0,0.0443462133407592,0.0129376649856567
132,1,1,0,3,14.712221856406403,943.3180873614732,72.83543093852057,0.0772119520598257,893.8732749736965,912.1882994019796,4170.6413323531815,18703.47156234705,18283.57987655703,111588.5750080392,14.40290541976378,21.063580596410294,0.0,0.0,0.0555019378662109,0.0,0.0,3.0,1.0,0.0158737897872924,0.008116602897644
67,1,1,0,3,15.35932659202462,819.5181068113886,112.92475370794484,0.1377940923688881,1552.3593604231,840.8655479335772,3182.4471821937923,23374.609397683835,18583.80669124528,88622.64651316813,6.380098136711164,12.87041125425108,0.0,0.0,0.0642359256744384,0.0,0.0,3.0,1.0,0.0158737897872924,0.008116602897644
82,1,1,0,3,17.26128104864055,905.5377652000154,39.6232255123179,0.0437565687871293,1410.384937144547,909.7105906726146,3578.965554148882,32377.3641412497,65532.43199481622,550816.1764884181,7.624440770431331,14.203002473989134,0.0,0.0,0.0642359256744384,0.0,0.0,3.0,1.0,0.0158737897872924,0.008116602897644
94,1,1,0,2,35.6086407060155,836.961710938664,39.56008088970496,0.0472662970989889,1122.472545065314,923.3298177787466,3793.2033374175858,19668.949990762856,20800.974633630267,109507.60546044038,8.386892093508992,12.610161651899304,0.0,0.0,0.0794823169708252,0.0,0.0,2.0,1.0,0.0560004711151123,0.0
69,3,3,0,0,27.57872891219597,872.2880662428292,830.735216540144,0.952363386235852,1595.881180147749,1949.007646199496,6240.91261613971,31283.115311188405,37136.51945717808,190901.9890297556,9.478837322409294,18.524554087516965,0.1559339761734008,0.0040360689163208,0.0428745746612548,0.0098104311987816,2.0,0.0,0.0,0.0,0.0
127,4,4,0,0,14.09868197746406,1799.5986815732126,161.64467204334326,0.0898226219537086,1779.674256855943,2047.516743284384,6514.945602985599,33670.2740427662,35506.51019908189,190901.9890297556,9.070558292520438,17.089083575256723,2.2615222930908203,2.977753378065382,0.0461445450782775,0.0102108540198228,2.0,0.0,0.0,0.0,0.0
73,0,0,0,5,62.91011999730019,323.1112565744999,162.18816233005415,0.5019576354272212,556.1088310204161,357.252580198851,1185.587559493919,13440.907598354692,13290.960204775962,49390.331950187785,9.866628231644697,15.337159837424666,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.1503409743309021,0.2092403810067892
167,1,1,0,5,35.19505388688656,1146.3790927749162,293.87412271242937,0.2563498624186175,859.7830002062385,710.567341926855,3632.1968320274527,18099.25484112629,18544.63477509363,130994.81475878591,9.498686914781077,14.5784567804034,0.0,0.0,0.0560469627380371,0.0,0.0,5.0,1.0,0.1503409743309021,0.2092403810067892
139,1,1,0,2,14.311181634267248,606.6476322370664,200.24235316236167,0.3300801693133631,541.4139099189493,486.5042256512309,2155.944497945103,14950.044215133155,13616.87846986929,71996.57599944751,15.39277518520783,20.91005766914901,0.0,0.0,0.0560469627380371,0.0,0.0,2.0,1.0,0.0315890312194824,0.0
149,1,1,0,3,34.31064029446084,974.0261359151148,63.52952069707436,0.0652236304084255,814.6839154451708,977.3737301346442,3697.971794983536,20669.992937963736,22116.960085909683,109106.90484446904,16.001358995257196,24.32164111541319,0.0,0.0,0.0401146411895751,0.0,0.0,3.0,1.0,1.4998208284378052,1.4682317972183228
149,1,1,0,8,18.21637765960963,974.0261359151148,63.52952069707436,0.0652236304084255,814.6839154451708,977.3737301346442,3697.971794983536,20669.992937963736,22116.960085909683,109106.90484446904,16.001358995257196,24.32164111541319,0.0,0.0,0.0401146411895751,0.0,0.0,8.0,1.0,1.2216197763170515,1.7933843387911053
293,1,1,0,11,30.84870980895633,3698.736266214995,587.9115579744968,0.1589493047516255,1581.1885138132548,1400.8354164266188,5383.489869951243,27276.995755923297,27168.70915077411,154306.17434721318,17.82452962134803,35.676210248111786,0.0,0.0,0.0401146411895751,0.0,0.0,11.0,1.0,0.6639732360839844,1.4221257580714313
362,1,1,0,12,41.48218942424245,3886.3625112273926,303.2111475523286,0.0780192652323028,1341.7042303861278,1373.514021527499,5383.489869951243,24671.82665086758,27494.101426067293,204948.54199430227,16.32495876379352,33.36128287203371,0.0,0.0,0.1437702178955078,0.0,0.0,12.0,1.0,0.7643993117592551,1.860967906412973
438,2,2,0,28,47.000952501526506,5169.195185703669,848.8910413003543,0.1642211235606103,1500.298646794475,1890.0494706349016,14355.141434684949,43774.28347984883,189890.6886650366,3079423.694371767,14.618966211772692,31.039862613882395,3.736461162567138,0.0,0.0954564809799194,0.0483137369155883,0.0,28.0,1.0,0.1451693375905355,0.4482564468090261
319,2,2,0,50,37.32788085583333,5157.714880259136,427.3511436746133,0.0828566823866661,2059.049468120925,2279.3855781447705,14355.141434684949,54175.90636608616,221366.70953792043,3079423.694371767,7.986730045615163,17.052144663771372,5.415122985839844,0.0,0.0475465059280395,0.0004037618637084,0.0,50.0,1.0,0.177132747611221,0.6356288586612325
151,1,1,0,37,19.00058347586433,2616.34807585452,364.0123624274319,0.1391299444392706,2178.636852690682,2025.759258806626,6205.710444063207,30857.93022402729,28446.1031385428,136270.78384819115,7.616357824079255,17.464491959155886,0.0,0.0,0.047950267791748,0.0,0.0,37.0,1.0,0.1640011601977878,0.6379726655851632
281,3,3,0,22,31.09795669685379,3639.787966412425,400.1249804748512,0.1099308487656868,1622.103628236143,1776.1096044421006,6205.710444063207,26475.28256770698,27488.33306843412,161383.69928763906,10.111897310195312,20.009874318959447,4.516098141670227,2.332166314125061,0.0559799671173095,0.01727386126004,0.0,22.0,1.0,0.0411525794437953,0.0781097293082832
197,4,4,0,0,70.79096669425857,1936.4519298276264,415.9098460003081,0.2147793289334739,1230.8869665779766,1140.376074143231,4813.212185824482,28497.36711786951,29637.04848628235,139887.34388826304,9.349390281810065,15.795014025619883,0.4184101422627767,0.4054873913328334,0.0583597421646118,0.0219835129038909,2.0,0.0,0.0,0.0,0.0
135,3,3,0,0,14.11037377084727,1317.9883296685907,639.7530773665727,0.4854011700751851,1220.898080893698,1857.2425545058195,7318.442391023332,26318.89189599907,34955.89069357134,260326.40996570463,13.730893906635954,22.90894861025196,0.1317665576934814,0.0116791725158691,0.0615092913309733,0.0245904008301763,2.0,0.0,0.0,0.0,0.0
150,0,0,0,0,15.170280750415127,1139.7066774948723,874.4884218787577,0.7672925316195597,948.519659076038,1791.407238729742,7318.442391023332,21945.012353910453,32809.85467427391,260326.40996570463,16.590014889108055,22.1746552448363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,1,1,0,0,77.05070005378019,1376.0970913977064,305.94934221207274,0.2223312178512919,1389.412708680222,1328.438505936051,5337.119313942968,33357.346436988286,34917.67221984396,187653.6810990731,9.894967016698295,19.17018278120992,0.0,0.0,0.0795536041259765,0.0,0.0,0.0,0.0,0.0,0.0
249,2,2,0,5,44.41785845693719,2786.864056722045,99.02019995940222,0.0355310477813085,1408.1330419085473,1242.6650572090964,5337.119313942968,33356.18873456981,37109.28992434898,273402.01734013786,9.854952818142296,18.35682859085953,4.159523963928223,0.0,0.4198236465454101,0.3402700424194336,0.0,5.0,1.0,0.017992079257965,0.0066041493723601
281,1,1,0,6,29.180507738015795,3051.882653902438,1136.4118971570124,0.3723642177735386,1361.029105814437,1148.6670684348128,5337.119313942968,27676.65852649597,32902.826005216426,273402.01734013786,8.469447628767044,16.882219360637237,0.0,0.0,0.7600936889648438,0.0,0.0,6.0,1.0,0.8304417610168457,1.624910100095255
339,2,2,0,6,35.61162388052265,4021.2580289350863,552.3087904424481,0.1373472645794657,1484.7343836391733,1603.1365488513804,8408.166522744606,29375.00445661315,35152.92046537065,273402.01734013786,8.996284987213311,17.99878689053578,6.231979370117188,0.0,0.4080086946487427,0.3520849943161011,0.0,6.0,1.0,0.8336238861083984,1.6272334712886232
